name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
,"Unit no 1, florich apt, passage road, Laxmi Society, Navpada, Irla, Vile Parle West, Mumbai, Maharashtra 400056",,099302 07780,,,19.1083269,72.8250482
,"10th Rd, Jaihind Society, Vithal Nagar, Vile Parle West, Mumbai, Maharashtra 400049",jvrealtors.com,098200 08800,,,19.1075591,72.8115521
,"G- 74 , Ashtavinayak tower, opp. Ganesh Chowk, D.N.Nagar, Andheri West, Mumbai, Maharashtra 400053",,070391 58984,,,19.124833,72.8138328
,"Shop No. 10, Gandhi Sadan Building, New Nagardas Rd, Patel Wadi, Natwar Nagar, Andheri East, Mumbai, Maharashtra 400069",,076767 37620,,,19.1228732,72.8298713
,"B Wing, Dhanashree Heights, 205-206, Veera Desai Rd, near Azad Nagar, Azad Nagar 2, Mhada Colony, Andheri West, Mumbai, Maharashtra 400053",,098200 48891,,,19.130759,72.8190532
,"Swastik Plaza, V L MEHTA ROAD, 45, Vaikunthlal Mehta Rd, Vile Parle West, Mumbai, Maharashtra 400049",tejasvirealty.com,098210 96320,,,19.1032655,72.8141926
,"104, Leena Rsidency, Gulmohar Rd, JVPD Scheme, Mumbai, Maharashtra 400049",,098211 21676,,,19.1032655,72.8141926
,"Shatdal , A 25, Azad Lane, SS.V.Road, Andheri West., Mumbai, Maharashtra 400058",,098210 25555,,,19.1032655,72.8141926
,"4R8J+H4P, U.P, Gulmohar Road, Gulmohar Colony, Juhu, Mumbai, Maharashtra 400049",parikhproperties.in,097733 33221,,,19.1164375,72.8122881
,"White House, 615/ 6th Floor, S.V. Road, Opp, Andheri Station Rd, Andheri West, Mumbai, Maharashtra 400053",,098208 19428,,,19.1225814,72.8282223
,"A wing 1st floor, Sivam Apartment, Office No 102, Maharashtra, Sant Janabai Rd, opposite greater bank, Vile Parle East, Mumbai, Maharashtra 400057",,095942 63753,,,19.1019857,72.835009
,"Shop No: 14, Ground floor, B Wing, Anjani Complex Off Andheri Kurla Road, Chakala, Andheri East Below W.E.H Metro Station, next to gate no 6, Mumbai, Maharashtra 400099",monksproperty.com,097687 77773,,,19.1152837,72.8375621
,"Shop 2A/1, Yashoda Niwas, Andheri - Kurla Rd, opp. Crisil House, Chakala, Andheri East, Mumbai, Maharashtra 400093",offisepoint.com,098198 95998,,,19.1152837,72.8375621
,"Apna Bazar Rd, Dhake Colony, Sahakar Nagar, Azad Nagar, Andheri West, Mumbai, Maharashtra 400047",,,,,19.1280722,72.8142717
,"Shop no 7, mangal kunj, Sahar Rd, near Better Home, Navpada, Kamala Nagar, Andheri East, Mumbai, Maharashtra 400069",,088794 72247,,,19.1056433,72.8261846
,"8, Rasila CHSL Vishnu Prasad Society, Navpada, Netaji Subhash Nagar, Vile Parle East, Mumbai, Maharashtra 400057",,083691 70388,,,19.1056433,72.8261846
,"Ground Floor, Flat, Kalandhar Cottage Co Operative Housing Society Ltd, 1, Swami Vivekananda Rd, behind Sony Mony Showroom, near Irla, Pond Gaothan, Navpada, Kamala Nagar, Vile Parle West, Mumbai, Maharashtra 400056",pricerealty.in,090820 81037,,,19.1056433,72.8261846
,"Padma Nagar CHS, Shree Tirupati Balaji, Shop Number.7, Shivam Square, 4, Sahar Rd, Koldongri, Andheri East, Mumbai, Maharashtra 400069",,,,,19.1056433,72.8261846
,"Shop no.7, Hanuman Rd, near Cosmos Bank, Satsang CHSL, Siddhachal Society, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057",,099873 44400,,,19.1056433,72.8261846
,"Chakala, Andheri - Kurla Rd, Andheri East, Mumbai, Maharashtra 400093",,,,,19.1148887,72.8432632
,"Shop No 3, Subh Laxmi Building Poddar Wadi, Shahaji Raje Marg, nr. Thakkar Backery, Vile Parle East, Mumbai, Maharashtra 400057",,098213 90690,,,19.1102607,72.8319176
,"Shop no 2, Tejmanjul apartment, Tejpal Rd, Vile Parle East, Mumbai, Maharashtra 400057",,098196 44996,,,19.1102607,72.8319176
,"G-3, Sai Kutir Building, Road No:5 Tejpal Scheme, Vile Parle East, Mumbai, Maharashtra 400057",alkaproperty.com,080979 93900,,,19.1102607,72.8319176
,"Office No- 8, Manish Deep CHS, Building No. 19, B -Wing, Manish Nagar, Four Bungalows, Andheri West, Mumbai, Maharashtra 400053",heritagehomeassociates.in,098210 12023,,,19.1282517,72.8083962
,"Anupam Building, Dr Ansari Rd, off Bajaj Road, Vasant Vihar, Navpada, Kamala Nagar, Vile Parle West, Mumbai, Maharashtra 400056",sites.google.com,091673 09869,,,19.1029763,72.8250701
,"Shop No: 5/B, Tape Dargah Lane, near Goodluck General Store, Andheri West, Mumbai, Maharashtra 400053",,090047 70239,,,19.1282599,72.816203
,"Shop no 2, Arctic building, Vitthalbhai Patel Rd, near Gilbert hill, Sagar City, Andheri West, Mumbai, Maharashtra 400058",,,,,19.1282599,72.816203
,"Gate no.2, Sayla Estate Agency, Ambavi House, Ground Floor Azad Nagar Soc, 1, NS Mankikar Rd, Vile Parle, Mumbai, Maharashtra 400056",saylaestate.com,090044 47785,,,19.1052981,72.8193349
,"Shop no 10, Ashiyana Building, opp. Andheri Subway, near DCB bank, Fish Market Area, Navneeth Colony, Andheri West, Mumbai, Maharashtra 400058",,,,,19.1247421,72.8283702
,"Shop No. 2, Gautam View, Saat Bangla Rd, next to Low Prices Super Market, Gharkul Society, Seven Bunglow, Andheri West, Mumbai, Maharashtra 400053",,098923 02544,,,19.1286419,72.8026192
,"120 Nahar & Seth Industrial Estate, Cardinal Gracious Road, Chakala Near Western Express Highway Metro Station, adjacent to Proctors Gamble Plaza, Andheri East, Mumbai, Maharashtra 400099",pacificestates.com,098336 33351,,,19.1135334,72.8406314
,"Office No 09, Sutari House, AB Nair Rd, near Juhu Post Office, Jukarwadi, Juhu, Mumbai, Maharashtra 400049",geetaestate.com,098700 00699,,,19.1111377,72.8083311
,"Shop no, post office, 1, JP Rd, near Apna Bazar Building, Dhake Colony, Azad Nagar, Andheri West, Mumbai, Maharashtra 400053",,099303 18861,,,19.1279092,72.8147061
,"Poonam, 23 New India Society, 11, NS Mankikar Rd, JVPD Scheme, Vile Parle West, Mumbai, Maharashtra 400049",,098198 25071,,,19.1056749,72.8107123
,"Office No. 11, 1st Floor, Bldg. No. 22, Amar Jyoti Building, C.H.S. LTD, Gharkul Society, Manish Nagar, Four Bungalows, Andheri West, Mumbai, Maharashtra 400053",kwick.co.in,098332 20013,,,19.1281695,72.8076987
,"3/A, Neminath CHS, Kambliwadi kambli wadiNehru Road, behind Rama Krishna Hotel, Vile Parle East, Mumbai, Maharashtra 400057",,098330 89828,,,19.0993601,72.8266469
,"Shop no. 4, Habib compound, Next Habibiya Masjid, opp. Railway Station, Jogeshwari West, Mumbai, Maharashtra 400102",,099303 03044,,,19.1389121,72.8303912
,"G4/G5 , Kalamandir, Off, Nehru Rd, behind dubashi playground, near petrol pump, Gujarati Society, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057",dreamhouseproperties.in,095944 95942,,,19.0982889,72.8328933
,"Unit No. 01, CD Barfiwala Road, opp. Navnit Motors, Juhu Lane, Andheri West, Mumbai, Maharashtra 400058",,088987 88718,,,19.116415,72.8219014
,"Shop No - 01, Teli Gali, near Hotel Imperial Palace, Andheri East, Mumbai, Maharashtra 400069",,,,,19.118543,72.8326786
,"Prime Mall, Swami Vivekananda Rd, Navpada, Irla, Vile Parle, Mumbai, Maharashtra 400056",,098210 25555,,,19.1080765,72.8227459
,"G, Mantri smruti, 1, Chittaranjan Rd, near Central bank of India & Bjp office, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057",,099870 04969,,,19.1080765,72.8227459
,"Shop no 7, Sutari House, AB Nair Rd, near Juhu, Juhu Tara, Juhu, Mumbai, Maharashtra 400049",,098203 34489,,,19.1111169,72.808061
,"Subhash Rd, opposite varma tailors, Vishnu Prasad Society, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057",wa.link,088792 92960,,,19.1043722,72.8303563
,"Shop No, 1, Post Office, Roop Kamal Studio, Andheri - Kurla Rd, near Indiana Building, Chakala, Andheri East, Mumbai, Maharashtra 400093",,096993 78389,,,19.1043722,72.8303563
,"211, Anjani Complex, Andheri - Kurla Rd, Andheri East, Mumbai, Maharashtra 400053",uniexindiarealtor.com,098677 70131,,,19.1043722,72.8303563
,"RETIWALA PREMISES, 44, Swami Vivekananda Rd, opp. KHIRA NAGAR, Bhim Wada, Santacruz West, Mumbai, Maharashtra 400054",,070213 73235,,,19.087559,72.8204116
,"Parimal Apartment, Juhu Scheme, Vile Parle West, Mumbai, Maharashtra 400058",,,,,19.1154812,72.8189098
,"Shop no 7A, Hubtown Premier Residences, Above Chayos Cafe, Four Bungalows, Andheri West, Mumbai, Maharashtra 400053",,098196 92697,,,19.1298471,72.8061357
,"G/2, shri vishwkarma chs, ram mandir road, vile parle(E, Mumbai, Maharashtra 400057",,098202 42464,,,19.1008698,72.8288617
,"Ltd, BLOCK-2, 37,1468, Ground Floor, Shayadri Chs, next to The Club, D.N.Nagar, Andheri West, Mumbai, Maharashtra 400053",,098708 47778,,,19.1215746,72.8121343
,"Yadav Nagar, Andheri West, Mumbai, Maharashtra 400058",,098190 87918,,,19.1215746,72.8121343
,"ROYAL SANDS, behind CITY MALL, Phase D, Shastri Nagar, Andheri West, Mumbai, Maharashtra 400053",abrealestate.in,084258 71567,,,19.1395993,72.8114831
,"Atlanta estate, 508, next to Virwani Industrial Estate, Goregaon, Mumbai, Maharashtra 400063",,080801 10021,,,19.1036274,72.8132435
,"1, Shop 17, Kevani Pada, off, Ceasar Rd, next to st blais church, Amboli, Andheri West, Mumbai, Maharashtra 400058",dreampalace.online,,,,19.12969,72.8291271
,"Shop No. 5B, Ground Floor, 'D' Wing, Crystal Plaza, New Link Road, KL Walawalkar Marg, opp. Infiniti Mall, Andheri West, Mumbai, Maharashtra 400053",mumbairealtors.co.in,098200 32390,,,19.1408237,72.814595
,"JIVAN VIKAS, CO. OP. SOC, CHHEDA MODAK ESTATE CONSULTANT OFFICE NO-B-3, GROUND FLOOR, PANOM PARK, Jeevan Vikas Kendra Marg, near Hanuman Mandir, Vile Parle East, Mumbai, Maharashtra 400057",,098213 30817,,,19.1112742,72.8299003
,"Shop No 4, Skydeck Building, Sundervan Complex Rd, Shastri Nagar, Andheri West, Mumbai, Maharashtra 400053",,098200 70344,,,19.1363988,72.809717
,"Shop No. 1, Mahalaxmi Tower, Ceasar Rd, opp. IDBI Bank And Citizen Credit Bank, Dhakoji Sethpada, Amboli, Andheri West, Mumbai, Maharashtra 400058",,077380 69069,,,19.1279119,72.8244999
,"shop no 3 lily annex s v road near mina hotel jogeshwari wast, Mumbai, Maharashtra 400102",,093200 02066,,,19.1279119,72.8244999
,"first floor, jyoti welfare Amar industrial estate, C1-1A, MIDC, Cross Rd B, J B Nagar, Andheri East, Mumbai, Maharashtra 400059",,088988 51003,,,19.1151097,72.8506404
